mfcc_0_mean,mfcc_0_var,mfcc_1_mean,mfcc_1_var,mfcc_2_mean,mfcc_2_var,mfcc_3_mean,mfcc_3_var,mfcc_4_mean,mfcc_4_var,mfcc_5_mean,mfcc_5_var,mfcc_6_mean,mfcc_6_var,mfcc_7_mean,mfcc_7_var,mfcc_8_mean,mfcc_8_var,mfcc_9_mean,mfcc_9_var,mfcc_10_mean,mfcc_10_var,mfcc_11_mean,mfcc_11_var,mfcc_12_mean,mfcc_12_var,chroma_0_mean,chroma_0_var,chroma_1_mean,chroma_1_var,chroma_2_mean,chroma_2_var,chroma_3_mean,chroma_3_var,chroma_4_mean,chroma_4_var,chroma_5_mean,chroma_5_var,chroma_6_mean,chroma_6_var,chroma_7_mean,chroma_7_var,chroma_8_mean,chroma_8_var,chroma_9_mean,chroma_9_var,chroma_10_mean,chroma_10_var,chroma_11_mean,chroma_11_var,spectral_centroid,spectral_bandwidth,spectral_rolloff,zero_crossing_rate,tempo,genre
-113.619385,2570.8127,121.55302,295.72443,-19.151056,235.57982,42.345768,150.83536,-6.3711677,168.02463,18.613033,89.169586,-13.69206,67.60479,15.339379,69.06307,-12.283617,82.152504,10.973775,63.400475,-8.32241,61.810535,8.8067875,51.292,-3.665802,41.251633,0.36172682,0.106695734,0.3676192,0.081792064,0.43998018,0.10007746,0.24463451,0.044680312,0.2478018,0.0657129,0.33561513,0.08358913,0.36457565,0.076904856,0.435647,0.1198947,0.29584128,0.06441652,0.3146339,0.07854178,0.40656048,0.110690914,0.38477013,0.08559202,1784.416545970319,2002.6571063943209,3806.4186497738488,0.08306639113293343,123.046875,blues
-207.58151,7770.7725,123.99715,560.16296,8.939115,572.70013,35.870758,264.85532,2.9199705,280.04745,21.518787,156.47044,-8.555368,200.96965,23.355938,142.37248,-10.101037,166.23213,11.906445,104.358574,-5.5581226,105.223694,5.375942,96.29922,-2.2378328,64.90086,0.45962265,0.14246188,0.34987718,0.08815949,0.32096848,0.09510379,0.21158579,0.05235535,0.20090811,0.04369434,0.33100522,0.09669616,0.39764687,0.07978908,0.5606766,0.1345222,0.38437906,0.08721443,0.25547394,0.05438946,0.28495893,0.07787301,0.3342382,0.07248304,1529.8713140945188,2038.6121427572907,3548.9868730952494,0.056044256724071206,107.666015625,blues
-90.776344,3319.7937,140.44861,509.1121,-29.10056,411.987,31.68734,144.14766,-13.975973,156.0156,25.741686,74.46933,-13.644712,106.68324,11.623112,106.62771,-11.775921,65.68542,9.700466,67.845474,-13.115349,57.646435,5.7857637,64.60155,-8.899733,60.47645,0.2726714,0.044675436,0.1958688,0.032745227,0.3152544,0.073772125,0.40813464,0.07362116,0.54708266,0.12263646,0.32177523,0.0556162,0.30478677,0.05850587,0.28851712,0.06323334,0.33424178,0.06118208,0.40191102,0.11104051,0.38430834,0.06329116,0.58818996,0.12457422,1552.6377863181906,1747.382028301664,3041.0899442784926,0.07630074799245357,161.4990234375,blues
-199.462,5495.972,150.09474,456.56665,5.649167,257.0472,26.870144,158.19778,1.7554405,267.90213,14.23688,126.88233,-4.8288727,156.06218,9.297849,81.17086,-0.7531419,92.361916,8.147393,71.22305,-3.1952357,110.32543,6.085354,48.18353,-2.4761882,56.813396,0.3408617,0.06234687,0.4085767,0.056291632,0.52456856,0.106398545,0.5470746,0.09215997,0.6571129,0.11911445,0.51167065,0.09209312,0.3556307,0.053699415,0.25169033,0.03978043,0.24638642,0.046278123,0.31520894,0.08634061,0.31654343,0.07901175,0.38285506,0.113676205,1070.1100585189854,1596.2442041849345,2185.0617872303114,0.03330894446594427,172.265625,blues
-160.29185,5198.1445,126.19576,853.7379,-35.6025,333.71176,22.151167,193.67331,-32.48764,336.45108,10.862023,134.79674,-23.357162,93.30083,0.50052327,124.76149,-11.80477,129.98872,1.2038777,99.79521,-13.085074,80.303085,-2.8098488,86.49203,-6.935621,89.61349,0.19272676,0.038146466,0.31723183,0.10363687,0.39155164,0.09720565,0.25590557,0.0754137,0.19280408,0.032107055,0.53058153,0.1312679,0.2539424,0.043002803,0.13921534,0.031377275,0.27655503,0.092107125,0.32433617,0.05460575,0.5552977,0.12668213,0.27303,0.047731124,1835.5070084014953,1748.3674767249408,3581.003346162684,0.1015001421004257,135.99917763157896,blues
-177.88876,7303.5063,118.18953,3197.6096,-17.550728,654.14764,30.753101,485.98712,-21.732107,433.48105,11.898545,266.0905,-20.73228,169.8476,3.176169,133.68483,-8.57577,172.33148,-0.9401844,100.12965,-11.773799,76.59605,-2.426076,78.50409,-9.342486,80.13263,0.2383077,0.083675034,0.30017725,0.04597576,0.6168902,0.14672972,0.23552333,0.027052727,0.123921245,0.018856311,0.24363415,0.076572925,0.2795118,0.06600146,0.41132167,0.11323947,0.2439938,0.055375505,0.28561246,0.07930151,0.2841993,0.081074834,0.36587507,0.093650125,1831.9900685948742,1729.4562589469804,3480.8539517523704,0.09403986975135449,112.34714673913044,blues
-190.17502,9646.426,130.29242,1934.4313,-36.348473,1307.6438,33.02909,480.32092,11.085681,1083.5884,-0.5963725,280.22363,-20.882357,151.6883,0.27711603,102.89618,-6.5008707,131.14716,-5.515623,153.48947,-7.8452897,87.57829,-3.123599,64.22462,-6.595716,79.16398,0.42547852,0.13388056,0.2233068,0.061185874,0.13130385,0.03518474,0.1526468,0.0477954,0.24185747,0.04703882,0.49107304,0.14850622,0.24560349,0.059667677,0.16917838,0.03749538,0.28823328,0.087767914,0.46142796,0.12465303,0.35944885,0.11093326,0.3073089,0.07326421,1459.0353761872718,1388.725515468785,2795.67476160386,0.07302790308146284,123.046875,blues
-179.42007,6575.454,136.4421,1479.9728,-26.644339,590.97736,39.97959,353.15915,5.3018146,650.4475,10.921237,136.36313,-20.555347,163.70146,8.507477,151.47868,-11.35436,172.0249,-3.469098,178.41544,-8.414114,147.66684,-6.956976,83.777534,-3.5483484,93.331375,0.25941798,0.062507205,0.26425827,0.08932271,0.32542002,0.093933724,0.21780159,0.071422465,0.21512048,0.06536377,0.2952168,0.08376244,0.1900441,0.046029586,0.18086508,0.057447214,0.2643502,0.078731515,0.39014107,0.07266187,0.6485513,0.123118915,0.4365872,0.07715195,1451.8494584581754,1577.5518583197502,2955.7654602239745,0.06143500266060371,92.28515625,blues
-121.387115,2621.6409,122.505394,414.72916,-14.739394,341.3917,46.135292,193.81631,-8.160384,176.72322,20.17051,106.99097,-19.169321,57.671753,23.050188,76.91382,-11.82594,42.480625,21.17341,58.43121,-6.7202907,48.96014,7.0050187,56.24636,-12.739909,61.896465,0.31952116,0.052900415,0.304665,0.05379558,0.36683202,0.08356674,0.42233863,0.075566895,0.52400357,0.123323396,0.4506939,0.089825,0.49352214,0.10752964,0.35298562,0.06598061,0.38034257,0.07015419,0.46188298,0.09444167,0.36648244,0.06877804,0.46470785,0.09775071,1719.2739373344168,2031.6873439502422,3781.5188003398316,0.06402757957623839,83.35433467741936,blues
-213.20453,6133.131,115.15454,798.7533,-11.720504,668.95465,39.032555,350.82483,-20.357819,532.3013,13.089926,278.38568,-9.180815,126.54535,9.023639,67.952324,-14.101023,110.166046,4.283337,92.49028,-6.044196,84.86531,3.786368,104.4943,0.22368738,76.40331,0.24841247,0.08757998,0.27330655,0.08576893,0.48874417,0.15305711,0.26811442,0.059149608,0.17957145,0.044487853,0.2677974,0.10786922,0.22273743,0.047412325,0.41564548,0.14531113,0.27288076,0.07008801,0.18116425,0.04718053,0.22930479,0.09375269,0.24049188,0.07606967,1817.5295464146707,1973.6903092151892,3944.584480970637,0.0792153184258901,129.19921875,blues
