mfcc_0_mean,mfcc_0_var,mfcc_1_mean,mfcc_1_var,mfcc_2_mean,mfcc_2_var,mfcc_3_mean,mfcc_3_var,mfcc_4_mean,mfcc_4_var,mfcc_5_mean,mfcc_5_var,mfcc_6_mean,mfcc_6_var,mfcc_7_mean,mfcc_7_var,mfcc_8_mean,mfcc_8_var,mfcc_9_mean,mfcc_9_var,mfcc_10_mean,mfcc_10_var,mfcc_11_mean,mfcc_11_var,mfcc_12_mean,mfcc_12_var,chroma_0_mean,chroma_0_var,chroma_1_mean,chroma_1_var,chroma_2_mean,chroma_2_var,chroma_3_mean,chroma_3_var,chroma_4_mean,chroma_4_var,chroma_5_mean,chroma_5_var,chroma_6_mean,chroma_6_var,chroma_7_mean,chroma_7_var,chroma_8_mean,chroma_8_var,chroma_9_mean,chroma_9_var,chroma_10_mean,chroma_10_var,chroma_11_mean,chroma_11_var,spectral_centroid,spectral_bandwidth,spectral_rolloff,zero_crossing_rate,tempo,genre
37.42686,678.6595,61.726513,222.25897,-15.812905,199.55522,43.533276,110.75659,4.5976553,61.07073,12.422962,41.840267,1.8908,32.948265,5.004718,37.95067,-2.391326,20.811327,3.9145586,25.482204,-4.153447,24.146687,3.6673648,24.383898,0.41176045,21.776083,0.48981494,0.058080453,0.5353525,0.05384651,0.56107515,0.074608654,0.44919825,0.05177502,0.49109542,0.05841799,0.4438024,0.05968771,0.36653984,0.035641424,0.48348433,0.061123088,0.5399588,0.049224854,0.6831623,0.07071007,0.62080556,0.07040811,0.4792823,0.04808565,2967.8002012383154,2537.9655861695474,5757.531851659249,0.1678440342008514,135.99917763157896,metal
-153.09027,5277.751,100.98907,1033.0693,0.9480415,458.43402,32.764004,312.1029,3.09135,218.78076,19.699135,108.517944,4.538643,178.94693,1.6969346,79.48217,0.7613153,81.45672,4.08226,90.01356,-1.039034,68.1677,5.0618544,52.009174,-2.2128139,72.59242,0.3539305,0.08386624,0.35346398,0.082952656,0.31424603,0.086171836,0.26529568,0.05747457,0.41202822,0.11880677,0.36658084,0.07726796,0.45529997,0.11488242,0.30781645,0.05509857,0.37328067,0.07969186,0.47323683,0.11434696,0.38946468,0.07130485,0.43899003,0.1157446,1971.848320946292,2259.925730853253,4214.299516707382,0.07730074194562693,151.99908088235293,country
-19.74518,3781.1555,71.44606,581.3731,6.817587,369.79123,18.263449,207.26514,7.9113626,138.40172,8.267049,108.483154,6.2131333,80.77055,11.073833,68.86834,3.0245066,91.09768,12.790943,81.3509,0.79196995,52.77948,5.6109443,70.24965,-0.21600229,72.069496,0.55252904,0.13583525,0.38159487,0.075886756,0.39502257,0.10946169,0.2780743,0.059470505,0.31018445,0.06481993,0.45577285,0.13211967,0.2727772,0.045809384,0.32525522,0.086689435,0.34475592,0.06882031,0.49014226,0.12027587,0.38708177,0.09328841,0.39083028,0.08656341,2815.6749642134673,2841.8735168758185,6198.520851725764,0.11726270740615326,123.046875,pop
32.583355,737.71344,54.238712,159.2509,-5.813637,131.96434,33.1981,94.4667,11.094707,78.073906,7.9101954,111.21678,6.836908,92.34256,4.0541263,50.19149,4.434764,66.82359,6.418571,34.31557,0.9153838,38.226345,8.3544,41.757935,1.8116277,34.017277,0.4417334,0.0680974,0.41363987,0.072997555,0.4310603,0.07226746,0.43986416,0.054226436,0.6027075,0.100459896,0.44741216,0.051840108,0.42293698,0.07955162,0.4018897,0.06316474,0.4227329,0.05832105,0.4421934,0.0767435,0.43674707,0.058264397,0.5514739,0.08412875,3214.58250488255,2831.0642845461903,6507.068985977409,0.17305677667859906,123.046875,metal
-67.01464,1720.8025,67.638145,272.50763,-9.562946,257.155,49.46841,116.53662,0.8082108,151.63857,14.413287,43.444828,2.8344035,52.903152,2.4145815,41.27655,6.7086444,35.401302,3.909272,44.019695,-1.1831361,28.325851,3.309314,30.216948,-2.7689939,32.902287,0.45227462,0.05209372,0.44609964,0.063946836,0.47972536,0.08108218,0.42771623,0.048694056,0.4851413,0.084720306,0.45250526,0.05764303,0.5916958,0.09522901,0.44435,0.06173099,0.41673562,0.053315297,0.506918,0.080997065,0.49507615,0.06865353,0.54469776,0.09012523,2778.299591326221,2528.209408381015,5501.84173111576,0.14096551192434212,129.19921875,metal
-57.562695,1926.0972,78.60683,244.8239,0.18487969,129.41121,33.315662,100.2704,7.1342783,90.16233,22.412718,43.870743,-0.73665154,84.441246,3.3296287,39.543514,2.9726174,46.963623,3.981979,32.877857,-2.9549766,48.71812,3.8005228,27.875408,-2.3674438,33.43004,0.41322786,0.07606377,0.36379877,0.04621448,0.41770223,0.08103056,0.43871796,0.06782768,0.5968254,0.09927505,0.45231596,0.08390905,0.35487294,0.057358574,0.3544015,0.06191328,0.4117398,0.06505529,0.5901111,0.09328334,0.44767308,0.06303965,0.44022295,0.067473516,2514.638818281601,2608.354846190474,5515.8916461578465,0.10413655850909442,92.28515625,metal
-70.71112,2644.299,74.50617,1088.377,-2.1206083,606.8229,43.93944,297.10477,-6.5611486,220.6598,15.84479,145.79327,8.986282,130.52101,17.957186,116.0191,-3.873185,111.40964,11.8081875,68.13412,2.0658238,90.15268,10.397161,62.715786,3.4081154,54.681175,0.44348443,0.068374604,0.42375708,0.07098705,0.43878254,0.07353266,0.45894742,0.05882809,0.53148496,0.059296127,0.64833975,0.063926935,0.55425936,0.065020524,0.51404196,0.07357623,0.5618003,0.06437873,0.6775238,0.05971334,0.6941648,0.06590629,0.5112823,0.05573528,2637.267832919804,2448.726469603733,5287.168029218266,0.11741916904508513,184.5703125,hiphop
-32.295273,3648.9575,71.129295,1146.5697,32.97406,972.3065,26.250895,306.0815,11.998561,228.3437,4.8021917,183.47388,2.8592896,130.72873,10.973452,142.81654,-1.4676776,162.99077,1.5947211,126.67595,-3.8545156,121.06482,3.5549386,87.05219,1.6432885,71.85357,0.3760662,0.08742466,0.2667884,0.043663103,0.28386325,0.05133673,0.33341166,0.061771143,0.47001615,0.111168005,0.42734692,0.100594394,0.42188734,0.091622174,0.50505507,0.10505795,0.5401619,0.09319969,0.59495854,0.10505091,0.5421012,0.08570045,0.4521037,0.07620262,2989.840297267722,2993.0363530130694,6585.1435138714205,0.1068315535506966,172.265625,hiphop
-13.272913,2551.4985,83.93589,623.35706,-2.8527982,376.40692,30.503761,160.56857,-4.1969147,287.8598,-1.5410666,189.01341,-0.8101858,140.90654,9.237524,85.66197,-7.952102,73.07213,3.1343818,67.4233,-2.4887981,92.321465,0.6471688,91.78671,-0.8965215,51.959064,0.34396103,0.07751051,0.32358685,0.08042861,0.32096127,0.075373314,0.39448553,0.088128746,0.31633043,0.06933524,0.30646563,0.07270561,0.34458917,0.0952985,0.35867113,0.08852365,0.43870094,0.10816833,0.44459713,0.08897992,0.45192802,0.09969286,0.4244978,0.09935403,2490.1867175954717,2481.535797211332,5092.7858712872485,0.1137752001499613,92.28515625,hiphop
-107.34119,2294.2117,65.314644,849.1961,-19.039614,561.5606,32.020348,448.0482,4.082537,267.97443,26.213816,154.7464,-5.598885,134.8356,10.841455,114.904434,-4.2508254,116.6184,5.938846,89.64212,2.0283382,103.66084,6.699141,76.89468,-3.298581,74.41906,0.31314564,0.055776212,0.5099806,0.09253557,0.58409464,0.08107158,0.7086247,0.08074645,0.5107986,0.09269064,0.4157588,0.11639491,0.32067347,0.08474417,0.29058838,0.07502378,0.36082214,0.071842946,0.28533748,0.052194376,0.2566495,0.053331498,0.2871119,0.058684386,2737.7256402707767,2458.159110067135,5580.257923610439,0.14013823045665635,95.703125,hiphop
-111.03623,2685.0703,75.105545,634.43994,28.164999,648.1855,28.293991,275.2234,6.817663,218.49736,20.30464,125.74963,-9.101891,176.67441,7.5030174,88.61169,-4.3212323,105.15137,0.22180955,111.99451,0.3077123,111.12258,-2.7603173,75.40111,-2.4740803,90.38106,0.30041897,0.07216598,0.4751281,0.09672834,0.7118884,0.10326038,0.5205186,0.11041599,0.25644678,0.050899334,0.1971531,0.037803605,0.2199981,0.04809247,0.25443465,0.06005511,0.32541505,0.07030687,0.3931004,0.08032082,0.3648862,0.10042083,0.26050732,0.048798323,2587.645735024887,2794.72027623352,6025.530231109714,0.09344803659539473,92.28515625,hiphop
-170.28215,10215.614,100.78171,724.8241,23.847311,465.97696,26.652792,208.82594,-4.2636204,277.1563,25.336376,90.18122,0.9856335,138.3373,4.7475896,99.84774,0.49583837,73.09863,3.2227087,56.037365,2.178871,59.29264,4.5483556,58.31247,-3.1170297,49.707664,0.4408316,0.11504614,0.33154473,0.06673773,0.32801005,0.07545074,0.31280896,0.063434534,0.40639126,0.09979896,0.41034654,0.10793779,0.38775557,0.077159666,0.4721645,0.10384484,0.4606342,0.09143888,0.4298207,0.09851562,0.31819695,0.05994041,0.38838792,0.091984235,1981.5461845968312,2427.072096271528,4539.88921457769,0.08169111600232198,123.046875,jazz
